Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
2c760030-7ce2-5075-a210-4d39e26b6aea_6,0,1,4.336808689942016e-19,0
2c760030-7ce2-5075-a210-4d39e26b6aea_5,2,0,-3.469446951953613e-17,0
372cf19b-d7c8-5ac2-a18c-a8fd76688f83_3,0,0,-6.938893903907225e-18,1
2458859c-0bf5-5acb-8515-de3ec9198e49_4,1,1,4.163336342344335e-17,2
2458859c-0bf5-5acb-8515-de3ec9198e49_9,4,0,1.873501354054951e-16,2
17d9e390-4e66-5496-85c6-06f0e9a41e23_5,0,2,-6.938893903907225e-18,3
17d9e390-4e66-5496-85c6-06f0e9a41e23_3,3,0,-3.816391647148974e-17,3
17d9e390-4e66-5496-85c6-06f0e9a41e23_7,1,1,-6.938893903907225e-18,3
34a314f1-ab60-5d42-8860-63d8bcd614d8_1,0,1,-6.938893903907225e-18,4
34a314f1-ab60-5d42-8860-63d8bcd614d8_4,1,0,-2.77555756156289e-17,4
0124953a-08ac-53d7-963b-8eacbeb43150_5,1,1,0.0,2
0124953a-08ac-53d7-963b-8eacbeb43150_6,1,0,-2.0816681711721676e-17,2
0124953a-08ac-53d7-963b-8eacbeb43150_3,3,1,8.673617379884032e-19,2
0124953a-08ac-53d7-963b-8eacbeb43150_2,2,0,-3.4694469519536126e-18,2
4a221c75-da3d-5244-85d8-7a9bcb80e659_2,3,0,7.632783294297948e-17,5
1bff1f27-ed3e-5d9b-9250-cb5e9be8af33_3,0,1,3.4694469519536126e-18,6
1ff1cbc0-a415-5bba-b5f6-44ed2b6c8d03_4,1,0,9.540979117872434e-18,6
17d9e390-4e66-5496-85c6-06f0e9a41e23_6,1,1,-1.0408340855860838e-17,3
17d9e390-4e66-5496-85c6-06f0e9a41e23_13,3,2,-4.163336342344335e-17,3
39e78bdb-813f-5e4e-84d5-7882aaea4c08_5,1,0,6.938893903907225e-18,7
343e4f6a-2e47-59b1-ab92-9b89cfec3068_5,0,0,3.4694469519536126e-18,8
422f30db-1ce4-534b-b007-1876dbe84220_1,1,1,2.0057740190981823e-17,9
