Node,In-Degree,Out-Degree,Eigenvector Centrality,Component ID
5285287c-3372-5e34-a3f5-65739fa845d9_11,0,0,-2.7755575615628914e-17,0
4a2a7a8b-1c0a-5c62-a609-153deb83060b_8,0,4,-2.7755575615628914e-17,1
ce74d48e-be27-5096-8c57-f89a6a724ccf_4,1,0,-1.3877787807814457e-17,1
ce74d48e-be27-5096-8c57-f89a6a724ccf_5,1,0,-4.163336342344337e-17,1
4a2a7a8b-1c0a-5c62-a609-153deb83060b_1,1,1,1.3877787807814457e-17,1
4a2a7a8b-1c0a-5c62-a609-153deb83060b_5,1,1,0.0,1
f381cb04-0776-5651-b432-9d88cd65a3e6_4,0,1,-1.3877787807814457e-17,2
f381cb04-0776-5651-b432-9d88cd65a3e6_1,1,0,0.0,2
844714f3-caa4-5c61-b746-6fda9d09828b_1,2,1,-2.7755575615628914e-17,3
844714f3-caa4-5c61-b746-6fda9d09828b_2,1,0,9.71445146547012e-17,3
31455daa-7058-5a72-9531-bfe5b5aee0f1_3,2,1,2.7755575615628914e-17,4
31455daa-7058-5a72-9531-bfe5b5aee0f1_4,1,1,2.7755575615628914e-17,4
d9a16294-6bbb-5652-a8d0-2241637d8b60_2,2,0,-1.214306433183765e-17,5
3ed53e18-1d60-5384-8cc6-eb29ad04a92d_5,0,0,6.938893903907228e-18,6
31455daa-7058-5a72-9531-bfe5b5aee0f1_5,1,0,1.2836953722228372e-16,4
96d90f49-ec47-56af-9e51-c7b840f54eff_2,1,0,1.3877787807814457e-17,7
96d90f49-ec47-56af-9e51-c7b840f54eff_1,0,3,0.0,7
96d90f49-ec47-56af-9e51-c7b840f54eff_5,1,0,1.3877787807814457e-17,7
96d90f49-ec47-56af-9e51-c7b840f54eff_3,1,1,2.7755575615628914e-17,7
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_8,1,0,-2.0816681711721685e-17,8
d9a16294-6bbb-5652-a8d0-2241637d8b60_3,0,1,-1.3877787807814457e-17,5
8e7cdd58-eccf-5ee5-acc1-7dd2937fd6eb_10,1,0,-4.163336342344337e-17,9
f381cb04-0776-5651-b432-9d88cd65a3e6_3,1,0,5.551115123125783e-17,10
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_5,1,0,4.163336342344337e-17,8
d1b7cfcc-cb8c-5273-b09a-fa6976347108_1,1,1,-1.8041124150158794e-16,11
d1b7cfcc-cb8c-5273-b09a-fa6976347108_2,2,0,-9.71445146547012e-17,11
1aa793cd-f09d-5a4e-8946-5b7b60e71f42_5,1,0,5.898059818321144e-17,12
683fcdec-a977-5367-8583-1828acabc83a_8,0,0,1.3877787807814457e-17,13
683fcdec-a977-5367-8583-1828acabc83a_15,1,0,2.7755575615628914e-17,14
844714f3-caa4-5c61-b746-6fda9d09828b_3,0,1,-4.336808689942018e-19,15
844714f3-caa4-5c61-b746-6fda9d09828b_4,1,0,1.734723475976807e-18,15
2d0b957e-6b98-55a4-8971-d4b4679b1c87_3,2,1,1.249000902703301e-16,16
2d0b957e-6b98-55a4-8971-d4b4679b1c87_4,1,0,1.3877787807814457e-17,16
3ed53e18-1d60-5384-8cc6-eb29ad04a92d_3,0,0,0.0,17
bdea7d33-46f5-51fc-95ad-0be9911092f3_4,1,0,1.9081958235744878e-17,18
683fcdec-a977-5367-8583-1828acabc83a_11,1,0,4.163336342344337e-17,19
8e7cdd58-eccf-5ee5-acc1-7dd2937fd6eb_4,0,1,0.0,9
8e7cdd58-eccf-5ee5-acc1-7dd2937fd6eb_0,2,0,-2.0816681711721685e-17,9
5285287c-3372-5e34-a3f5-65739fa845d9_8,1,0,2.0816681711721685e-17,18
7e13bbd5-6466-5aed-b952-8019b02dd0bc_6,1,0,-5.551115123125783e-17,16
ce74d48e-be27-5096-8c57-f89a6a724ccf_6,0,1,-1.734723475976807e-18,20
ce74d48e-be27-5096-8c57-f89a6a724ccf_3,4,0,-9.71445146547012e-17,20
7e13bbd5-6466-5aed-b952-8019b02dd0bc_3,1,0,2.7755575615628914e-17,16
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_13,1,0,-1.3877787807814457e-17,8
148e925b-1a26-52a5-8941-bb97c4ba2b80_7,0,1,-6.938893903907228e-18,21
148e925b-1a26-52a5-8941-bb97c4ba2b80_4,1,2,1.734723475976807e-18,21
4636768e-14e6-5844-98e0-211e7a450519_2,1,1,2.7755575615628914e-17,22
4636768e-14e6-5844-98e0-211e7a450519_3,2,0,4.85722573273506e-17,22
683fcdec-a977-5367-8583-1828acabc83a_3,1,0,-3.469446951953614e-18,23
683fcdec-a977-5367-8583-1828acabc83a_12,0,2,-1.3877787807814457e-17,24
683fcdec-a977-5367-8583-1828acabc83a_13,1,0,0.0,24
683fcdec-a977-5367-8583-1828acabc83a_17,1,0,0.0,24
683fcdec-a977-5367-8583-1828acabc83a_14,1,1,9.71445146547012e-17,14
31455daa-7058-5a72-9531-bfe5b5aee0f1_1,0,2,-2.710505431213761e-20,4
31455daa-7058-5a72-9531-bfe5b5aee0f1_6,1,1,-2.7755575615628914e-17,4
c5239a57-f27e-502a-a4fd-fb37c883317b_8,1,0,7.632783294297951e-17,25
a6ef3fa5-f1f3-59e0-b0b0-8940bc75aab5_3,0,0,2.7755575615628914e-17,26
9dcd79d7-e512-5f3e-8d0b-07f522ffa771_2,1,0,-3.469446951953614e-18,8
14a4c38b-558f-5658-a87f-bd0d5b4acdcb_2,1,0,0.0,27
c5239a57-f27e-502a-a4fd-fb37c883317b_6,0,2,-2.7755575615628914e-17,25
c5239a57-f27e-502a-a4fd-fb37c883317b_1,2,1,6.938893903907228e-18,25
c5239a57-f27e-502a-a4fd-fb37c883317b_11,1,0,-4.163336342344337e-17,25
8e7cdd58-eccf-5ee5-acc1-7dd2937fd6eb_2,1,0,-7.806255641895632e-18,9
393635d4-4a01-5493-ab3f-30a69a355aa5_2,2,1,5.551115123125783e-17,16
393635d4-4a01-5493-ab3f-30a69a355aa5_1,3,0,0.0,16
3ed53e18-1d60-5384-8cc6-eb29ad04a92d_1,0,0,-6.938893903907228e-18,28
19d200ca-fb01-5f04-9f17-4e7cff621e08_7,0,0,6.938893903907228e-18,29
13c726c9-bfb5-5c93-9cab-2af3c5691409_4,0,0,1.3877787807814457e-17,30
393635d4-4a01-5493-ab3f-30a69a355aa5_5,1,1,-1.0408340855860843e-17,16
aea155a0-9aa3-586d-b42a-7b9a86f42a78_2,0,0,6.938893903907228e-18,31
683fcdec-a977-5367-8583-1828acabc83a_7,0,0,1.734723475976807e-18,32
dae4b91a-789d-51ac-ba7f-63e9ab4e78e8_2,1,0,-1.3877787807814457e-17,33
683fcdec-a977-5367-8583-1828acabc83a_16,0,2,1.734723475976807e-18,34
683fcdec-a977-5367-8583-1828acabc83a_18,1,0,-1.3877787807814457e-17,34
683fcdec-a977-5367-8583-1828acabc83a_19,1,0,3.469446951953614e-18,34
c5239a57-f27e-502a-a4fd-fb37c883317b_2,0,1,6.938893903907228e-18,25
bdea7d33-46f5-51fc-95ad-0be9911092f3_5,0,2,4.336808689942018e-19,35
bdea7d33-46f5-51fc-95ad-0be9911092f3_1,1,1,-2.0816681711721685e-17,35
bdea7d33-46f5-51fc-95ad-0be9911092f3_6,1,0,4.163336342344337e-17,35
2acaf432-a7ee-5ac5-9ed9-27907cacaea1_3,1,1,-3.469446951953614e-18,36
2acaf432-a7ee-5ac5-9ed9-27907cacaea1_4,1,0,6.938893903907228e-17,36
aea155a0-9aa3-586d-b42a-7b9a86f42a78_7,1,0,1.5959455978986625e-16,10
